DATE,MABMM301EZA189N
1970-01-01,353300000000
1971-01-01,405800000000
1972-01-01,472300000000
1973-01-01,536200000000.00006
1974-01-01,602100000000
1975-01-01,689500000000
1976-01-01,782500000000
1977-01-01,889200000000
1978-01-01,1014200000000
1979-01-01,1129100000000
1980-01-01,1198927000000.0
1981-01-01,1324037000000.0
1982-01-01,1478452000000.0
1983-01-01,1607971000000.0
1984-01-01,1742791000000.0
1985-01-01,1882118000000.0
1986-01-01,2011545000000.0
1987-01-01,2173838000000.0002
1988-01-01,2358041000000.0
1989-01-01,2593728000000.0
1990-01-01,2907362000000.0
1991-01-01,3132988000000.0
1992-01-01,3365086000000.0
1993-01-01,3588556000000.0
1994-01-01,3672401000000.0
1995-01-01,3877110000000.0
1996-01-01,4037575000000.0
1997-01-01,4222019000000.0
1998-01-01,4422982000000.0
1999-01-01,4667221000000.0
2000-01-01,4859203000000.0
2001-01-01,5402883000000.0
2002-01-01,5767431000000.0
2003-01-01,6148767000000.0
2004-01-01,6540370000000.0
2005-01-01,7087688000000.0
2006-01-01,7753664000000.0
2007-01-01,8647955000000.0
2008-01-01,9402536000000.0
2009-01-01,9349659000000.0
2010-01-01,9298961000000.0
2011-01-01,9497899000000.0
2012-01-01,9786331000000.0
2013-01-01,9832592000000.0
2014-01-01,10326079000000.0
2015-01-01,10842914000000.0
2016-01-01,11382088000000.0
2017-01-01,11860289000000.0
2018-01-01,12371400000000.0
2019-01-01,12987389000000.0
2020-01-01,14483234000000.0
2021-01-01,15507427000000.0
2022-01-01,16068662000000.0
