DATE,MABMM301JPA189N
1980-01-01,320950697500000
1981-01-01,354640338000000
1982-01-01,382556159100000
1983-01-01,411440731500000
1984-01-01,443372382500000
1985-01-01,484395748599999.94
1986-01-01,523879326400000.06
1987-01-01,583878456100000
1988-01-01,644686941800000
1989-01-01,713138658400000
1990-01-01,773899170800000
1991-01-01,789303244400000
1992-01-01,785853809000000
1993-01-01,796522453000000
1994-01-01,819662609000000
1995-01-01,845682710799999.9
1996-01-01,870181594500000
1997-01-01,903064974000000
1998-01-01,942469627899999.9
1999-01-01,967370868400000
2000-01-01,977762000000000
2001-01-01,996465000000000
2002-01-01,1009151000000000.000000
2003-01-01,1018870000000000.00000
2004-01-01,1028684000000000.000000
2005-01-01,1032146000000000.000000
2006-01-01,1026270000000000.00000
2007-01-01,1033148100000000.0000000
2008-01-01,1040644500000000.0000000
2009-01-01,1063518400000000.0000000
2010-01-01,1082936500000000.0000000
2011-01-01,1111460800000000.0
2012-01-01,1135854100000000.0
2013-01-01,1174554600000000.0
2014-01-01,1208531200000000.0
2015-01-01,1238600000000000.0
2016-01-01,1280080400000000.0
2017-01-01,1319209500000000.0
2018-01-01,1346968300000000.0
2019-01-01,1376232100000000.0
2020-01-01,1481345500000000.0
2021-01-01,1530951700000000.0
2022-01-01,1569348100000000.0
